Run,Sample.Name,Subline,Treatment,BioProject,BioSample,Center.Name,Experiment,Cell.Line,Organism,SRA.Study
SRR3576739,MDA468_Ctrl_Rep1,MDA-MB-468,control,PRJNA322427,SAMN05162532,Queensland University of Technology,SRX1795037,MDA-MB-468,Homo sapiens,SRP075592
SRR3576740,MDA468_Ctrl_Rep2,MDA-MB-468,control,PRJNA322427,SAMN05162533,Queensland University of Technology,SRX1795038,MDA-MB-468,Homo sapiens,SRP075592
SRR3576741,PMC42ET_Ctrl_Rep2,PMC42-ET,control,PRJNA322427,SAMN05162542,Queensland University of Technology,SRX1795039,PMC42-ET,Homo sapiens,SRP075592
SRR3576742,PMC42ET_Ctrl_Rep3,PMC42-ET,control,PRJNA322427,SAMN05162543,Queensland University of Technology,SRX1795040,PMC42-ET,Homo sapiens,SRP075592
SRR3576743,PMC42ET_EGF_Rep1,PMC42-ET,EGF - 3d,PRJNA322427,SAMN05162544,Queensland University of Technology,SRX1795041,PMC42-ET,Homo sapiens,SRP075592
SRR3576744,PMC42ET_EGF_Rep2,PMC42-ET,EGF - 3d,PRJNA322427,SAMN05162545,Queensland University of Technology,SRX1795042,PMC42-ET,Homo sapiens,SRP075592
SRR3576745,PMC42ET_EGF_Rep3,PMC42-ET,EGF - 3d,PRJNA322427,SAMN05162546,Queensland University of Technology,SRX1795043,PMC42-ET,Homo sapiens,SRP075592
SRR3576746,PMC42LA_Ctrl_Rep1,PMC42-LA,control,PRJNA322427,SAMN05162547,Queensland University of Technology,SRX1795044,PMC42-LA,Homo sapiens,SRP075592
SRR3576747,PMC42LA_Ctrl_Rep2,PMC42-LA,control,PRJNA322427,SAMN05162548,Queensland University of Technology,SRX1795045,PMC42-LA,Homo sapiens,SRP075592
SRR3576748,PMC42LA_Ctrl_Rep3,PMC42-LA,control,PRJNA322427,SAMN05162549,Queensland University of Technology,SRX1795046,PMC42-LA,Homo sapiens,SRP075592
SRR3576749,PMC42LA_EGF_Rep1,PMC42-LA,EGF - 3d,PRJNA322427,SAMN05162550,Queensland University of Technology,SRX1795047,PMC42-LA,Homo sapiens,SRP075592
SRR3576750,PMC42LA_EGF_Rep2,PMC42-LA,EGF - 3d,PRJNA322427,SAMN05162551,Queensland University of Technology,SRX1795048,PMC42-LA,Homo sapiens,SRP075592
SRR3576751,MDA468_Ctrl_Rep3,MDA-MB-468,control,PRJNA322427,SAMN05162534,Queensland University of Technology,SRX1795049,MDA-MB-468,Homo sapiens,SRP075592
SRR3576752,PMC42LA_EGF_Rep3,PMC42-LA,EGF - 3d,PRJNA322427,SAMN05162552,Queensland University of Technology,SRX1795050,PMC42-LA,Homo sapiens,SRP075592
SRR3576753,MDA468_EGF_Rep1,MDA-MB-468,EGF - 7d,PRJNA322427,SAMN05162535,Queensland University of Technology,SRX1795051,MDA-MB-468,Homo sapiens,SRP075592
SRR3576754,MDA468_EGF_Rep2,MDA-MB-468,EGF - 7d,PRJNA322427,SAMN05162536,Queensland University of Technology,SRX1795052,MDA-MB-468,Homo sapiens,SRP075592
SRR3576755,MDA468_EGF_Rep3,MDA-MB-468,EGF - 7d,PRJNA322427,SAMN05162537,Queensland University of Technology,SRX1795053,MDA-MB-468,Homo sapiens,SRP075592
SRR3576756,MDA468_HPX_Rep1,MDA-MB-468,Hypoxia - 7d,PRJNA322427,SAMN05162538,Queensland University of Technology,SRX1795054,MDA-MB-468,Homo sapiens,SRP075592
SRR3576757,MDA468_HPX_Rep2,MDA-MB-468,Hypoxia - 7d,PRJNA322427,SAMN05162539,Queensland University of Technology,SRX1795055,MDA-MB-468,Homo sapiens,SRP075592
SRR3576758,MDA468_HPX_Rep3,MDA-MB-468,Hypoxia - 7d,PRJNA322427,SAMN05162540,Queensland University of Technology,SRX1795056,MDA-MB-468,Homo sapiens,SRP075592
SRR3576759,PMC42ET_Ctrl_Rep1,PMC42-ET,control,PRJNA322427,SAMN05162541,Queensland University of Technology,SRX1795057,PMC42-ET,Homo sapiens,SRP075592
